DATE,OPEN,HIGH,LOW,CLOSE
2021-03-01,10.0000,10.0100,9.9200,10.0000
2021-03-02,10.0200,10.0300,9.8500,9.9500
2021-03-03,9.9900,10.0000,9.9300,9.9800
2021-03-04,9.7200,9.7200,9.7101,9.7101
2021-03-05,9.8000,9.8000,9.8000,9.8000
2021-03-08,9.8900,9.9000,9.7400,9.7400
2021-03-09,9.9257,9.9257,9.7500,9.8100
2021-03-10,9.8000,9.8500,9.7800,9.8100
2021-03-11,9.7500,9.8000,9.7200,9.7500
2021-03-12,9.7700,9.7800,9.7500,9.7700
2021-03-15,9.8200,9.8500,9.8200,9.8500
2021-03-16,9.8118,9.8500,9.7500,9.7800
2021-03-17,9.8100,9.8500,9.8000,9.8300
2021-03-18,9.8500,9.8500,9.7500,9.7500
2021-03-19,9.7200,9.7500,9.7200,9.7500
2021-03-22,9.7300,9.7600,9.7300,9.7600
2021-03-23,9.7200,9.7700,9.6900,9.7200
2021-03-24,9.6700,9.6900,9.6700,9.6800
2021-03-25,9.6100,9.6500,9.6100,9.6500
2021-03-26,9.6600,9.7000,9.6400,9.6650
2021-03-29,9.7200,9.7200,9.6800,9.7200
2021-03-30,9.7000,9.7600,9.7000,9.7525
2021-03-31,9.7400,9.7400,9.6900,9.7000
2021-04-01,9.7500,9.7600,9.7500,9.7600
2021-04-05,9.7900,9.7900,9.7300,9.7500
2021-04-06,9.7438,9.7600,9.7300,9.7300
2021-04-07,9.7500,9.7500,9.7500,9.7500
2021-04-08,9.7300,9.7300,9.7200,9.7300
2021-04-09,9.7700,9.8700,9.7700,9.8700
2021-04-12,9.8500,9.8800,9.7500,9.7500
2021-04-13,9.7501,9.8500,9.7501,9.8500
2021-04-14,9.8500,9.8800,9.8400,9.8500
2021-04-15,9.8500,9.9900,9.8500,9.8900
2021-04-16,9.9600,9.9600,9.8000,9.8700
2021-04-19,9.8500,9.8500,9.8500,9.8500
2021-04-20,9.8000,9.8000,9.8000,9.8000
2021-04-21,9.8000,9.8200,9.7700,9.7700
2021-04-22,9.7700,9.8100,9.7500,9.7500
2021-04-23,9.7600,9.7900,9.7600,9.7600
2021-04-26,9.7600,9.7600,9.7600,9.7600
2021-04-27,9.8509,9.8509,9.7500,9.7500
2021-04-28,9.8100,9.8200,9.7600,9.7700
2021-04-29,9.8300,9.8300,9.7550,9.8000
2021-04-30,9.7600,9.7800,9.7500,9.7800
2021-05-03,9.7600,9.7653,9.7500,9.7600
2021-05-04,9.7500,9.7900,9.7500,9.7900
2021-05-05,9.7900,9.7900,9.7500,9.7800
2021-05-06,9.7500,9.8000,9.7000,9.7400
2021-05-07,9.7400,9.7700,9.7300,9.7700
2021-05-10,9.7700,9.7700,9.7100,9.7200
2021-05-11,9.7000,9.7800,9.7000,9.7800
2021-05-12,9.7500,9.8000,9.7100,9.8000
2021-05-13,9.7900,9.8000,9.7900,9.7900
2021-05-14,9.8000,9.8100,9.7700,9.7900
2021-05-17,9.8000,9.8000,9.8000,9.8000
2021-05-18,9.7200,9.7500,9.6400,9.7200
2021-05-19,9.6900,9.7100,9.6200,9.6800
2021-05-20,9.6800,9.7200,9.6200,9.7100
2021-05-21,9.6800,9.7000,9.6800,9.7000
2021-05-24,9.7000,9.7200,9.7000,9.7200
2021-05-25,9.7200,9.7300,9.7100,9.7300
2021-05-26,9.7300,9.7400,9.6900,9.7300
2021-05-27,9.6900,9.7000,9.6500,9.6500
