DATE,OPEN,HIGH,LOW,CLOSE
2020-10-06,10.0000,10.0000,10.0000,10.0000
2020-10-07,9.9500,9.9500,9.9000,9.9000
2020-10-08,9.9000,9.9000,9.9000,9.9000
2020-10-09,9.9000,9.9000,9.8000,9.8000
2020-10-12,9.8600,9.8700,9.8000,9.8600
2020-10-13,9.8300,9.8500,9.8300,9.8500
2020-10-14,9.8500,9.8500,9.8500,9.8500
2020-10-15,9.8500,9.8700,9.7700,9.8000
2020-10-16,9.8000,9.8000,9.8000,9.8000
2020-10-19,9.8500,9.8500,9.8000,9.8000
2020-10-20,9.8500,9.8500,9.8500,9.8500
2020-10-21,9.8500,9.8500,9.8500,9.8500
2020-10-22,9.8500,9.8500,9.8500,9.8500
2020-10-26,9.7900,9.8000,9.7850,9.8000
2020-10-27,9.8000,9.8000,9.8000,9.8000
2020-10-28,9.7300,9.7900,9.7300,9.7900
2020-10-30,9.7900,9.7900,9.7900,9.7900
2020-11-02,9.7900,9.7900,9.7900,9.7900
2020-11-04,9.7900,9.7900,9.7900,9.7900
2020-11-05,9.7400,9.7900,9.5250,9.7500
2020-11-06,9.7649,9.7649,9.7649,9.7649
2020-11-09,9.8000,9.8000,9.7500,9.7500
2020-11-10,9.7401,9.7950,9.7401,9.7950
2020-11-13,9.7850,9.8500,9.7850,9.8500
2020-11-16,10.3400,10.3400,10.3400,10.3400
2020-11-17,9.8500,9.8500,9.7500,9.8400
2020-11-18,9.8400,9.8400,9.8400,9.8400
2020-11-19,9.8000,9.8000,9.8000,9.8000
2020-11-20,9.8155,10.0000,9.8000,9.8200
2020-11-23,9.8200,9.8200,9.8200,9.8200
2020-11-24,9.9700,9.9800,9.9700,9.9800
2020-11-27,9.8500,9.9000,9.8500,9.8500
2020-11-30,10.0000,10.0000,9.8500,9.9000
2020-12-01,9.7800,9.9800,9.7800,9.9100
2020-12-02,9.7600,10.0000,9.7600,9.9000
2020-12-03,9.9300,9.9300,9.8700,9.9300
2020-12-04,9.9700,9.9700,9.8600,9.9300
2020-12-07,10.0000,10.0200,9.9500,9.9500
2020-12-08,9.9500,10.0900,9.9500,9.9500
2020-12-09,10.0000,10.0300,9.9500,10.0000
2020-12-10,9.9500,10.1000,9.9100,10.0000
2020-12-11,10.0500,10.0500,9.9900,10.0000
2020-12-14,10.1000,10.1100,10.0100,10.0500
2020-12-15,10.2500,10.2500,10.0300,10.0300
2020-12-16,10.1243,10.1243,10.0000,10.0100
2020-12-17,10.1105,10.1105,10.1105,10.1105
2020-12-18,10.1400,10.1400,10.0200,10.0500
2020-12-21,10.3500,10.3500,10.1000,10.1500
2020-12-22,10.2400,10.2499,10.0900,10.2300
2020-12-23,10.2400,10.2499,10.1200,10.1300
2020-12-24,10.1500,10.1800,10.1300,10.1800
2020-12-28,10.2150,10.2500,10.1500,10.1800
2020-12-29,10.2500,10.2500,9.9200,10.0900
2020-12-30,10.0650,10.2000,10.0650,10.2000
2020-12-31,10.0701,10.2500,10.0250,10.1100
2021-01-04,10.2000,10.2000,10.1100,10.2000
2021-01-05,10.2000,10.2400,10.1100,10.2000
2021-01-06,10.2000,10.2500,10.1650,10.2500
2021-01-07,10.2300,10.2900,10.1500,10.2800
2021-01-08,10.2300,10.4500,10.2000,10.2300
2021-01-11,10.2400,10.2900,10.2100,10.2500
2021-01-12,10.2500,10.4000,10.2400,10.2900
2021-01-13,11.2900,11.3100,10.3618,10.4500
2021-01-14,10.7420,10.7500,10.3400,10.4600
2021-01-15,10.6900,10.6900,10.3600,10.4000
2021-01-19,10.4000,10.4000,10.2501,10.3000
2021-01-20,10.3501,10.4200,10.2500,10.3000
2021-01-21,10.4000,10.4000,10.3200,10.4000
2021-01-22,10.4650,10.4650,10.3850,10.4000
2021-01-25,10.6500,10.9500,10.4200,10.4900
2021-01-26,10.5000,10.6000,10.1550,10.1550
2021-01-27,10.2100,10.3000,10.1800,10.3000
2021-01-28,10.3500,10.3500,10.2100,10.3500
2021-01-29,10.4001,10.4001,10.2100,10.3000
2021-02-01,10.3100,10.7600,10.3100,10.3400
2021-02-02,15.0000,16.8900,13.5400,16.2900
2021-02-03,17.3400,17.6000,15.5500,16.6300
2021-02-04,16.5900,20.0000,16.3500,18.5500
2021-02-05,19.2300,20.0900,18.8900,19.3700
2021-02-08,19.9800,22.0799,19.8500,21.1500
2021-02-09,21.1700,22.0500,19.4000,20.0000
2021-02-10,20.3400,20.5500,18.0600,18.7500
2021-02-11,19.4100,19.6800,18.2800,18.9000
2021-02-12,18.4400,19.6000,18.2000,19.5500
2021-02-16,19.8300,20.2500,18.7000,19.5000
2021-02-17,18.8800,19.9900,18.3100,19.5800
2021-02-18,18.5000,22.4700,18.4600,21.2500
2021-02-19,21.0600,22.0100,19.5000,19.5200
2021-02-22,19.2500,19.3000,18.0000,18.4500
2021-02-23,16.6100,16.9000,14.6100,16.2000
2021-02-24,16.4000,17.2500,15.5941,15.8900
2021-02-25,16.0000,16.4800,14.3500,14.5500
2021-02-26,14.8500,15.3000,13.1200,13.9500
2021-03-01,15.5000,16.3300,15.1500,15.7400
2021-03-02,15.4700,15.9500,13.9224,14.1600
2021-03-03,14.1400,14.3400,12.6000,12.9500
2021-03-04,13.1400,13.8500,11.9000,13.2500
2021-03-05,13.2800,13.5000,11.0800,13.1000
2021-03-08,13.4000,13.6000,11.8600,11.9100
2021-03-09,12.4200,13.1000,12.2500,12.8400
2021-03-10,13.4880,14.3100,12.9500,14.3100
2021-03-11,14.5000,14.6200,14.0000,14.3200
2021-03-12,13.7372,14.2800,13.5800,14.0000
2021-03-15,14.0000,14.6800,13.7500,14.4900
2021-03-16,14.4600,14.4997,12.8200,13.0300
2021-03-17,12.5000,13.8300,12.3000,13.1000
