DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2019-09-12,20.5500,21.1000,16.2800,16.6700,55.417,
2019-09-13,16.8100,18.7100,16.8100,18.6800,19.119,
2019-09-16,18.4600,19.0000,17.8100,18.9000,5.573,
2019-09-17,19.0000,19.3000,18.6500,19.0700,4.415,
2019-09-18,19.1700,19.7000,18.9000,19.4800,10.540,
2019-09-19,19.4800,19.5900,18.4500,18.6400,3.735,
2019-09-20,18.6500,18.8700,18.0600,18.2500,1.755,
2019-09-23,18.3100,18.4500,16.9000,17.1500,2.584,
2019-09-24,17.2000,17.7000,15.5900,15.6800,5.835,
2019-09-25,15.9300,16.0500,14.4600,14.5050,5.715,
2019-09-26,14.6600,14.8899,12.5600,12.9400,10.667,
2019-09-27,13.0900,13.5500,12.7051,13.0000,5.637,
2019-09-30,13.2700,13.9200,13.1000,13.8800,3.756,
2019-10-01,13.9400,13.9900,13.1100,13.1700,4.442,
2019-10-02,13.0400,13.6100,12.6100,12.9550,4.171,
2019-10-03,12.9800,13.7700,12.5600,13.7000,3.306,
2019-10-04,13.3100,14.8500,12.9100,14.7200,11.959,
2019-10-07,15.0000,15.2000,13.4700,13.4900,7.607,
2019-10-08,13.3000,13.3500,11.2000,11.3350,12.070,
2019-10-09,11.7300,11.7800,10.9000,10.9700,8.479,
2019-10-10,10.9000,11.0100,9.8200,10.2350,18.922,
2019-10-11,10.4100,11.6600,10.3300,11.1300,9.072,
2019-10-14,10.8100,10.9500,9.4406,9.7000,10.721,
2019-10-15,9.7400,10.4898,9.3200,10.3100,9.574,
2019-10-16,10.2100,10.5800,9.9332,10.0000,4.745,
2019-10-17,10.0000,10.2200,8.7300,9.4100,11.666,
2019-10-18,9.3300,9.6200,9.1200,9.4600,5.070,
2019-10-21,9.5000,9.6200,9.0500,9.1300,4.565,
2019-10-22,9.2100,9.7000,9.2100,9.5000,3.364,
2019-10-23,9.4400,10.4500,9.4400,10.0200,4.755,
2019-10-24,10.5700,10.8500,10.0500,10.8200,4.997,
2019-10-25,10.7300,11.9000,10.6500,11.3800,6.660,
2019-10-28,11.7000,12.1000,11.5500,12.0600,5.623,
2019-10-29,12.0400,12.1600,11.5400,11.7600,3.621,
2019-10-30,11.7800,12.3000,11.5100,12.1900,2.936,
2019-10-31,12.2200,12.3300,11.2000,11.6950,3.150,
2019-11-01,11.7000,12.6200,11.5100,12.5200,3.505,
2019-11-04,12.6200,13.5000,12.6200,13.0500,4.579,
2019-11-05,13.0000,13.3600,12.2900,12.5900,2.814,
2019-11-06,12.4600,12.9400,11.8100,11.9900,2.712,
2019-11-07,12.0000,12.6800,11.8300,11.9900,1.724,
2019-11-08,12.0000,12.2200,11.3100,11.5900,2.835,
2019-11-11,11.5000,11.9000,11.5000,11.8500,2.314,
