DATE,OPEN,HIGH,LOW,CLOSE
2021-03-15,9.8000,10.2900,9.8000,9.9400
2021-03-16,10.3800,10.3800,9.8000,9.8400
2021-03-17,9.8450,9.8500,9.7100,9.8400
2021-03-18,9.9000,9.9100,9.7500,9.9000
2021-03-19,9.9001,9.9499,9.8200,9.9100
2021-03-22,9.9200,9.9200,9.7700,9.8400
2021-03-23,9.8400,9.8400,9.7000,9.7100
2021-03-24,9.7000,9.7100,9.6100,9.6800
2021-03-25,9.5800,9.7500,9.5600,9.7500
2021-03-26,9.8100,9.8750,9.6701,9.8750
2021-03-29,9.8220,9.9018,9.7900,9.8300
2021-03-30,9.7461,9.7607,9.7100,9.7100
2021-03-31,9.7150,9.7600,9.6600,9.7000
2021-04-01,9.7000,9.8600,9.6854,9.7600
2021-04-05,9.8000,9.8000,9.7200,9.7600
2021-04-06,9.7500,9.7840,9.7300,9.7800
2021-04-07,9.7800,9.7800,9.7100,9.7500
2021-04-08,9.8100,9.9400,9.7600,9.8500
2021-04-09,9.8500,9.8700,9.8100,9.8600
2021-04-12,9.8100,9.8700,9.7800,9.8500
2021-04-13,9.8200,9.8700,9.8200,9.8500
2021-04-14,9.8500,9.8900,9.8300,9.8500
2021-04-15,9.8500,9.8800,9.8100,9.8700
2021-04-16,9.8700,9.8800,9.8100,9.8800
2021-04-19,9.8700,9.8700,9.8100,9.8400
2021-04-20,9.7600,9.8700,9.7600,9.8400
2021-04-21,9.8400,9.8400,9.7500,9.7600
2021-04-22,9.8000,9.8800,9.7999,9.8200
2021-04-23,9.8000,9.8400,9.7700,9.7800
2021-04-26,9.7700,9.8100,9.7400,9.7500
2021-04-27,9.7700,9.8000,9.7700,9.7800
2021-04-28,9.7800,9.8200,9.7800,9.8000
2021-04-29,9.8000,9.8900,9.8000,9.8600
2021-04-30,9.8900,9.8900,9.7900,9.8600
2021-05-03,9.8600,9.8900,9.8500,9.8900
2021-05-04,9.7803,9.8900,9.7803,9.8500
2021-05-05,9.8000,9.8300,9.7700,9.8100
2021-05-06,9.8000,9.8400,9.7700,9.7700
2021-05-07,9.8013,9.8200,9.7500,9.7500
2021-05-10,9.7700,9.7800,9.7500,9.7650
2021-05-11,9.7500,9.8000,9.7200,9.7600
2021-05-12,9.7500,9.7501,9.7000,9.7000
2021-05-13,9.7000,9.7400,9.7000,9.7400
2021-05-14,9.7100,9.7400,9.7100,9.7300
2021-05-17,9.7062,9.7062,9.6500,9.7000
2021-05-18,9.6500,9.7300,9.6500,9.7100
2021-05-19,9.7000,9.7000,9.6700,9.7000
2021-05-20,9.7000,9.7210,9.6700,9.7200
2021-05-21,9.7800,9.7800,9.7202,9.7202
2021-05-24,9.7000,9.7200,9.7000,9.7200
2021-05-25,9.6600,9.7000,9.6600,9.6900
2021-05-26,9.6900,9.7000,9.6600,9.7000
2021-05-27,9.6600,9.7000,9.6600,9.6800
2021-05-28,9.6640,9.7000,9.6640,9.7000
2021-06-01,9.6500,9.7200,9.6500,9.6900
2021-06-02,9.6850,9.7000,9.6700,9.7000
2021-06-03,9.6700,9.7000,9.6700,9.6900
