DATE,OPEN,HIGH,LOW,CLOSE
2020-02-13,10.0100,10.0100,9.9900,10.0000
2020-02-14,10.0000,10.0100,9.9850,10.0100
2020-02-18,9.9500,10.0094,9.9500,10.0000
2020-02-19,10.0000,10.0000,9.9900,10.0000
2020-02-20,10.0050,10.0112,10.0000,10.0053
2020-02-21,10.0000,10.0200,10.0000,10.0100
2020-02-24,10.0200,10.0200,10.0000,10.0000
2020-02-25,10.0000,10.0000,10.0000,10.0000
2020-02-26,9.9900,9.9900,9.9900,9.9900
2020-02-27,9.9900,9.9900,9.9900,9.9900
2020-02-28,10.0000,10.0200,9.9600,9.9803
2020-03-02,9.9803,9.9803,9.9803,9.9803
2020-03-03,9.9700,9.9700,9.9700,9.9700
2020-03-04,10.0000,10.0000,9.9700,9.9700
2020-03-05,10.0200,10.0200,9.9500,9.9500
2020-03-06,9.9500,9.9600,9.9200,9.9600
2020-03-09,9.9600,9.9600,9.9600,9.9600
2020-03-10,9.9900,10.0000,9.9900,10.0000
2020-03-11,10.0000,10.0000,10.0000,10.0000
2020-03-12,9.9400,9.9800,9.9200,9.9700
2020-03-13,9.9000,9.9000,9.8000,9.8900
2020-03-16,9.8500,9.8500,9.8000,9.8000
2020-03-17,9.7500,9.7500,9.5900,9.5900
2020-03-18,9.6000,9.6375,9.6000,9.6100
2020-03-19,9.7722,9.7722,9.7722,9.7722
2020-03-20,9.5100,9.5600,9.2500,9.5600
2020-03-23,9.5500,9.5500,9.5500,9.5500
2020-03-24,9.8138,9.8138,9.4500,9.4500
2020-03-25,9.4500,9.4500,9.4500,9.4500
2020-03-26,9.5000,9.5060,9.4999,9.4999
2020-03-27,9.4999,9.4999,9.4999,9.4999
2020-03-30,9.4999,9.4999,9.4999,9.4999
2020-03-31,9.4999,9.4999,9.4999,9.4999
2020-04-01,9.4999,9.4999,9.4999,9.4999
2020-04-02,9.4999,9.4999,9.4999,9.4999
2020-04-03,9.5000,9.5000,9.5000,9.5000
2020-04-06,9.7000,9.7200,9.7000,9.7200
2020-04-07,9.7500,9.7500,9.7100,9.7100
2020-04-08,9.7000,9.7000,9.7000,9.7000
2020-04-09,9.7000,9.7000,9.7000,9.7000
2020-04-13,9.7500,9.7500,9.7500,9.7500
2020-04-14,9.7600,9.7600,9.7500,9.7500
2020-04-15,9.7500,9.7500,9.7500,9.7500
2020-04-16,9.7200,9.7200,9.7200,9.7200
2020-04-17,9.7400,9.7652,9.7400,9.7652
2020-04-20,9.7400,9.8200,9.7400,9.8200
2020-04-21,9.7000,9.8300,9.7000,9.8300
2020-04-22,9.8000,9.8899,9.8000,9.8899
2020-04-23,9.8000,9.8000,9.8000,9.8000
2020-04-24,9.9000,9.9000,9.8900,9.8900
2020-04-27,9.8002,9.8002,9.8002,9.8002
2020-04-28,9.8002,9.8002,9.8002,9.8002
2020-04-29,9.8002,9.8002,9.8002,9.8002
2020-04-30,9.9000,9.9000,9.9000,9.9000
2020-05-01,9.9000,9.9000,9.9000,9.9000
2020-05-04,9.9000,9.9000,9.9000,9.9000
2020-05-05,9.9000,9.9000,9.9000,9.9000
2020-05-06,9.8500,9.8500,9.8500,9.8500
2020-05-07,9.8500,9.8500,9.8500,9.8500
2020-05-08,9.8500,9.8500,9.8500,9.8500
2020-05-11,9.8500,9.8500,9.8500,9.8500
2020-05-12,9.8000,9.8500,9.8000,9.8500
2020-05-13,9.8500,9.8500,9.8500,9.8500
2020-05-14,9.8400,9.8400,9.8400,9.8400
2020-05-15,9.8200,9.8200,9.8100,9.8200
2020-05-18,9.8500,9.8500,9.8500,9.8500
2020-05-19,9.7600,9.7600,9.7500,9.7500
2020-05-20,9.7500,9.7500,9.7500,9.7500
2020-05-21,9.7500,9.7500,9.7000,9.7000
2020-05-22,9.7200,9.7500,9.6500,9.7500
2020-05-26,9.7500,9.7800,9.7400,9.7500
2020-05-27,9.7500,9.7500,9.7499,9.7500
2020-05-28,9.7500,9.7500,9.7250,9.7492
2020-05-29,9.7500,9.7500,9.7492,9.7500
2020-06-01,9.7600,9.7600,9.7300,9.7400
2020-06-02,9.8400,9.8400,9.7500,9.8000
2020-06-03,9.8000,9.8500,9.7600,9.8500
2020-06-04,9.7800,9.8200,9.7800,9.8197
2020-06-05,9.8200,9.8400,9.7800,9.8000
2020-06-08,9.7700,9.8300,9.7700,9.8200
2020-06-09,9.7900,9.8600,9.7900,9.8599
2020-06-10,9.8000,9.8101,9.8000,9.8100
2020-06-11,9.8100,9.8100,9.8100,9.8100
2020-06-12,9.8100,9.8100,9.8100,9.8100
2020-06-15,9.7700,9.8600,9.7700,9.8600
2020-06-16,9.9000,9.9000,9.8600,9.8600
2020-06-17,9.7700,9.7700,9.7700,9.7700
2020-06-18,9.8556,9.9200,9.8556,9.8800
2020-06-19,9.8800,9.8800,9.8800,9.8800
2020-06-22,9.8800,9.8800,9.8800,9.8800
2020-06-23,9.8800,9.8800,9.8800,9.8800
2020-06-24,10.0100,10.0700,10.0000,10.0700
2020-06-25,10.0400,10.0400,10.0000,10.0000
2020-06-26,10.0300,10.0300,10.0000,10.0000
2020-06-29,10.0000,10.0000,10.0000,10.0000
2020-06-30,10.0100,10.0600,10.0100,10.0507
2020-07-01,10.0507,10.0507,10.0507,10.0507
2020-07-02,10.1000,10.1000,10.0800,10.1000
2020-07-06,10.0400,10.0700,10.0000,10.0300
2020-07-07,10.0300,10.0300,10.0300,10.0300
2020-07-08,10.0100,10.0100,9.9800,9.9800
2020-07-09,9.9800,9.9800,9.9800,9.9800
2020-07-10,10.0400,10.0500,10.0100,10.0500
2020-07-13,10.0300,10.1100,10.0300,10.0900
2020-07-14,10.0500,10.0800,10.0500,10.0700
2020-07-15,10.0700,10.0700,9.9700,9.9700
2020-07-16,10.0500,10.0500,10.0500,10.0500
2020-07-17,10.1400,10.1400,10.0500,10.0500
2020-07-20,10.0500,10.0500,10.0200,10.0400
2020-07-21,10.0900,10.0900,10.0900,10.0900
2020-07-22,10.0900,10.0900,10.0900,10.0900
