DATE,OPEN,HIGH,LOW,CLOSE
2011-05-11,18.6005,18.7913,17.3605,17.3986
2011-05-12,17.3986,17.3986,16.8549,17.1697
2011-05-13,17.2555,17.4558,17.0743,17.2937
2011-05-16,17.3032,17.7802,17.1792,17.3223
2011-05-17,17.2651,17.3509,17.0171,17.0934
2011-05-18,17.1029,17.6466,17.1029,17.3891
2011-05-19,17.4272,18.1617,17.3891,18.0854
2011-05-20,17.9328,18.1236,17.6466,18.0568
2011-05-23,17.9900,18.0282,17.2269,17.5608
2011-05-24,17.6466,18.0282,17.5894,17.6371
2011-05-25,17.4845,17.9042,17.4463,17.8660
2011-05-26,17.7992,17.7992,17.4558,17.6657
2011-05-27,17.5989,18.5528,17.4558,18.3525
2011-05-31,18.5433,18.5433,18.1999,18.2666
2011-06-01,18.2189,18.3620,17.8851,18.1045
2011-06-02,18.0282,18.1522,17.9137,17.9232
2011-06-03,17.8565,18.2094,17.7038,18.1236
2011-06-06,17.8660,18.3620,17.2841,17.5608
2011-06-07,17.1888,17.3605,17.1697,17.1888
2011-06-08,17.2460,17.5894,17.2269,17.3318
2011-06-09,17.3318,17.8755,17.2460,17.7229
2011-06-10,17.5131,17.8660,17.3128,17.4558
2011-06-13,17.7038,17.9232,17.4845,17.6466
2011-06-14,17.6657,17.8088,17.3128,17.5035
2011-06-15,17.4368,17.8565,17.3414,17.3795
2011-06-16,17.4368,17.4845,17.2555,17.4558
2011-06-17,17.5608,17.8374,17.2078,17.4845
2011-06-20,17.5322,17.9519,17.1220,17.3128
2011-06-21,17.3986,17.5512,16.8072,17.1124
2011-06-22,17.0743,17.6943,16.8835,17.0266
2011-06-23,16.8454,17.4081,16.4257,17.0171
2011-06-24,16.9789,16.9789,16.2635,16.5401
2011-06-27,16.6069,16.8167,15.8343,16.2540
2011-06-28,16.3207,16.5497,16.1872,16.2540
2011-06-29,16.3494,16.7500,15.7389,15.8629
2011-06-30,15.8343,16.3017,15.7293,16.1967
2011-07-01,16.1872,16.4161,15.8629,15.9583
2011-07-05,15.9678,16.4352,15.7484,16.3017
2011-07-06,16.2444,16.5783,15.7961,16.0537
2011-07-07,16.2158,16.5974,15.9678,16.5210
2011-07-08,16.3207,16.5115,16.1777,16.2540
2011-07-11,16.1109,16.3494,15.9010,15.9964
2011-07-12,15.8915,16.0823,15.7675,15.8533
2011-07-13,15.8724,16.1490,15.8438,16.0441
2011-07-14,16.1872,16.2063,15.8629,16.0250
2011-07-15,16.3780,16.3780,15.7484,15.9487
2011-07-18,15.8247,15.8247,15.0712,15.2142
2011-07-19,15.3096,15.4146,15.1475,15.3287
2011-07-20,15.3669,15.4909,15.2142,15.4050
2011-07-21,15.4432,15.4432,15.1856,15.3096
2011-07-22,15.2906,15.2906,14.9281,14.9662
2011-07-25,14.8041,14.8041,14.4130,14.5752
2011-07-26,14.5752,14.5752,14.4416,14.4798
2011-07-27,14.4130,14.4130,14.1650,14.2604
2011-07-28,14.2604,14.8613,14.1841,14.6801
2011-07-29,14.5084,14.6515,14.3558,14.4893
2011-08-01,14.7182,14.7468,14.4321,14.5275
2011-08-02,14.4702,14.5179,14.1554,14.2127
2011-08-03,14.2031,14.2318,13.6881,14.1650
2011-08-04,13.9361,13.9361,12.6865,12.9154
2011-08-05,13.0585,13.1920,11.9329,12.4766
2011-08-08,12.1809,12.1809,11.4655,11.7135
2011-08-09,11.9520,12.0760,11.3415,11.5037
2011-08-10,10.1206,11.8375,10.1206,10.9791
2011-08-11,11.4655,11.6849,11.0840,11.4369
2011-08-12,11.4465,11.5705,10.8646,11.0554
2011-08-15,11.1794,11.9520,11.1794,11.8089
2011-08-16,11.7135,12.2382,11.7135,11.9425
2011-08-17,12.1809,12.5243,11.8471,12.0760
2011-08-18,11.8757,12.0855,11.7612,12.0092
2011-08-19,11.7326,12.0188,11.4560,11.5705
2011-08-22,11.8375,11.9234,11.4465,11.4560
2011-08-23,11.5037,12.1046,11.4465,12.0855
2011-08-24,12.2763,13.0871,12.2763,12.7819
2011-08-25,12.8773,13.0394,12.4194,12.4576
2011-08-26,12.3812,12.5816,12.2286,12.5339
2011-08-29,12.6865,13.5640,12.6865,13.3065
2011-08-30,13.4114,13.5068,12.8296,13.2970
2011-08-31,13.3542,13.3542,12.9536,13.2397
2011-09-01,13.1825,13.2016,12.7151,12.7151
2011-09-02,12.5148,12.8963,12.4194,12.6293
